sample_id,status,vol_rel,hausdorff,xi_l2,p_value,p_pc,p_xi,z_hausdorff,z_chamfer,code_success,code_error_type,code_error_msg,generated_path,truth_path,error
20251218_033650_brass_spacer_tube_v1,code_error,,,,,,,,,False,SyntaxError,"unexpected EOF while parsing (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033650_brass_spacer_tube_v1.py,data/models/20251218_033650_brass_spacer_tube_v1.py,
20251218_033651_dowel_pin_brass_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033651_dowel_pin_brass_v1.py,data/models/20251218_033651_dowel_pin_brass_v1.py,
20251218_033652_grip_handle_spacer_v1,code_error,,,,,,,,,False,SyntaxError,"unexpected EOF while parsing (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033652_grip_handle_spacer_v1.py,data/models/20251218_033652_grip_handle_spacer_v1.py,
20251218_033652_hook_bracket_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033652_hook_bracket_v1.py,data/models/20251218_033652_hook_bracket_v1.py,
20251218_033654__sliding_joint_v1,code_error,,,,,,,,,False,SyntaxError,"unexpected EOF while parsing (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033654__sliding_joint_v1.py,data/models/20251218_033654__sliding_joint_v1.py,
20251218_033654_box_with_fillet_v1,code_error,,,,,,,,,False,SyntaxError,"unexpected EOF while parsing (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033654_box_with_fillet_v1.py,data/models/20251218_033654_box_with_fillet_v1.py,
20251218_033654_cube_with_beveled_corners_v1,ok,0.9585331452750352,24.515301344262525,7.878298992332707,0.0,0.0,0.0,24515301.344262525,802000000.0,True,,,generated/claude-3.5-sonnet/20251218_033654_cube_with_beveled_corners_v1.py,data/models/20251218_033654_cube_with_beveled_corners_v1.py,
20251218_033655_pyramid_with_rounded_base_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033655_pyramid_with_rounded_base_v1.py,data/models/20251218_033655_pyramid_with_rounded_base_v1.py,
20251218_033656__equipment_hanger_bracket_v1,code_error,,,,,,,,,False,SyntaxError,"'[' was never closed (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033656__equipment_hanger_bracket_v1.py,data/models/20251218_033656__equipment_hanger_bracket_v1.py,
20251218_033656_hexagonal_washer_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033656_hexagonal_washer_v1.py,data/models/20251218_033656_hexagonal_washer_v1.py,
20251218_033656_hollow_cube_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033656_hollow_cube_v1.py,data/models/20251218_033656_hollow_cube_v1.py,
20251218_033656_keyed_reduced_shaft_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033656_keyed_reduced_shaft_v1.py,data/models/20251218_033656_keyed_reduced_shaft_v1.py,
20251218_033657__panel_v1,code_error,,,,,,,,,False,SyntaxError,"unexpected EOF while parsing (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033657__panel_v1.py,data/models/20251218_033657__panel_v1.py,
20251218_033657__quick_coupler_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033657__quick_coupler_v1.py,data/models/20251218_033657__quick_coupler_v1.py,
20251218_033657_beveled_thick_wall_tube_v1,ok,0.8182852537200336,47.59464255564905,24.38592793780669,0.0,0.0,0.0,47594642.55564906,1102785494.4267476,True,,,generated/claude-3.5-sonnet/20251218_033657_beveled_thick_wall_tube_v1.py,data/models/20251218_033657_beveled_thick_wall_tube_v1.py,
20251218_033657_plastic_lever_mount_v1,code_error,,,,,,,,,False,SyntaxError,"unexpected EOF while parsing (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033657_plastic_lever_mount_v1.py,data/models/20251218_033657_plastic_lever_mount_v1.py,
20251218_033658__mounting_v1,code_error,,,,,,,,,False,SyntaxError,"unexpected EOF while parsing (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033658__mounting_v1.py,data/models/20251218_033658__mounting_v1.py,
20251218_033658__truncated_sphere_with_notch_v1,code_error,,,,,,,,,False,SyntaxError,"'(' was never closed (<string>, line 1)",generated/claude-3.5-sonnet/20251218_033658__truncated_sphere_with_notch_v1.py,data/models/20251218_033658__truncated_sphere_with_notch_v1.py,
20251218_033658_bracket_fitting_v1,ok,0.0020465151170477396,5.0,30.284037209861136,0.0,0.0,0.0,5000000.0,6565003.991479776,True,,,generated/claude-3.5-sonnet/20251218_033658_bracket_fitting_v1.py,data/models/20251218_033658_bracket_fitting_v1.py,
