sample_id,status,vol_rel,hausdorff,xi_l2,p_value,p_pc,p_xi,z_hausdorff,z_chamfer,code_success,code_error_type,code_error_msg,generated_path,truth_path,error
20251218_033650_brass_spacer_tube_v1,code_error,,,,,,,,,False,Standard_Failure,There are no suitable edges for chamfer or fillet,generated/gpt-4o/20251218_033650_brass_spacer_tube_v1.py,data/models/20251218_033650_brass_spacer_tube_v1.py,
20251218_033651_dowel_pin_brass_v1,ok,0.6934722081729848,0.5,4.169739925249795,0.0,0.0,0.0,500000.0,110211.29780353459,True,,,generated/gpt-4o/20251218_033651_dowel_pin_brass_v1.py,data/models/20251218_033651_dowel_pin_brass_v1.py,
20251218_033652_grip_handle_spacer_v1,ok,0.05329549795272269,3.1622776601683795,13.422428097508554,0.0,0.0,0.0,3162277.6601683795,3449173.283143251,True,,,generated/gpt-4o/20251218_033652_grip_handle_spacer_v1.py,data/models/20251218_033652_grip_handle_spacer_v1.py,
20251218_033652_hook_bracket_v1,ok,1.520476261127026,33.25657829663178,288.00811964948656,0.0,0.0,0.0,33256578.29663178,464379098.4064842,True,,,generated/gpt-4o/20251218_033652_hook_bracket_v1.py,data/models/20251218_033652_hook_bracket_v1.py,
20251218_033654__sliding_joint_v1,ok,0.14042157978074488,2.5,57.9715915404453,0.0,0.0,0.0,2500000.0,6149476.100837141,True,,,generated/gpt-4o/20251218_033654__sliding_joint_v1.py,data/models/20251218_033654__sliding_joint_v1.py,
20251218_033654_box_with_fillet_v1,ok,0.02706725804566862,5.0,20.707843065101784,0.0,0.0,0.0,5000000.0,10962756.333288735,True,,,generated/gpt-4o/20251218_033654_box_with_fillet_v1.py,data/models/20251218_033654_box_with_fillet_v1.py,
20251218_033654_cube_with_beveled_corners_v1,ok,0.0,0.0,0.05892556509887914,0.9999999999999987,1.0,0.9999999481743792,0.0,0.0,True,,,generated/gpt-4o/20251218_033654_cube_with_beveled_corners_v1.py,data/models/20251218_033654_cube_with_beveled_corners_v1.py,
20251218_033655_pyramid_with_rounded_base_v1,ok,0.8294130205804007,14.147137196298551,53.44743411456707,0.0,0.0,0.0,14147137.196298553,97629536.34680597,True,,,generated/gpt-4o/20251218_033655_pyramid_with_rounded_base_v1.py,data/models/20251218_033655_pyramid_with_rounded_base_v1.py,
20251218_033656__equipment_hanger_bracket_v1,ok,0.9757711784116219,50.23445033042563,111.27289472209341,0.0,0.0,0.0,50234450.330425635,1955098882.4962547,True,,,generated/gpt-4o/20251218_033656__equipment_hanger_bracket_v1.py,data/models/20251218_033656__equipment_hanger_bracket_v1.py,
20251218_033656_hexagonal_washer_v1,ok,0.901412268781126,3.7931281648697017,15.083326108212423,0.0,0.0,0.0,3793128.164869702,10110420.6318173,True,,,generated/gpt-4o/20251218_033656_hexagonal_washer_v1.py,data/models/20251218_033656_hexagonal_washer_v1.py,
20251218_033656_hollow_cube_v1,ok,0.6222222222222221,25.03086406573461,114.41852442405082,0.0,0.0,0.0,25030864.065734614,880242543.1496925,True,,,generated/gpt-4o/20251218_033656_hollow_cube_v1.py,data/models/20251218_033656_hollow_cube_v1.py,
20251218_033656_keyed_reduced_shaft_v1,code_error,,,,,,,,,False,ValueError,"If multiple objects selected, they all must be planar faces.",generated/gpt-4o/20251218_033656_keyed_reduced_shaft_v1.py,data/models/20251218_033656_keyed_reduced_shaft_v1.py,
20251218_033657__panel_v1,ok,0.020852457840627642,30.62277953133809,64.3872339064152,0.0,0.0,0.0,30622779.531338092,709413337.2209862,True,,,generated/gpt-4o/20251218_033657__panel_v1.py,data/models/20251218_033657__panel_v1.py,
20251218_033657__quick_coupler_v1,ok,1.365155830034228,31.73226978225369,387.03849713768403,0.0,0.0,0.0,31732269.782253694,847100797.4838984,True,,,generated/gpt-4o/20251218_033657__quick_coupler_v1.py,data/models/20251218_033657__quick_coupler_v1.py,
20251218_033657_beveled_thick_wall_tube_v1,code_error,,,,,,,,,False,Standard_Failure,There are no suitable edges for chamfer or fillet,generated/gpt-4o/20251218_033657_beveled_thick_wall_tube_v1.py,data/models/20251218_033657_beveled_thick_wall_tube_v1.py,
20251218_033657_plastic_lever_mount_v1,ok,0.1147371329833206,10.700467279516348,52.57127650506597,0.0,0.0,0.0,10700467.279516349,7563051.439994865,True,,,generated/gpt-4o/20251218_033657_plastic_lever_mount_v1.py,data/models/20251218_033657_plastic_lever_mount_v1.py,
20251218_033658__mounting_v1,code_error,,,,,,,,,False,SyntaxError,"unexpected EOF while parsing (<string>, line 1)",generated/gpt-4o/20251218_033658__mounting_v1.py,data/models/20251218_033658__mounting_v1.py,
20251218_033658__truncated_sphere_with_notch_v1,ok,0.9218589228957177,61.2374060718483,92.98853928162306,0.0,0.0,0.0,61237406.0718483,2853964598.7439647,True,,,generated/gpt-4o/20251218_033658__truncated_sphere_with_notch_v1.py,data/models/20251218_033658__truncated_sphere_with_notch_v1.py,
20251218_033658_bracket_fitting_v1,ok,0.0024536257392778382,5.068164510058374,37.677621713022475,0.0,0.0,0.0,5068164.510058374,6845187.37447813,True,,,generated/gpt-4o/20251218_033658_bracket_fitting_v1.py,data/models/20251218_033658_bracket_fitting_v1.py,
20251218_033659__t_handle_lever_v1,code_error,,,,,,,,,False,ValueError,"If multiple objects selected, they all must be planar faces.",generated/gpt-4o/20251218_033659__t_handle_lever_v1.py,data/models/20251218_033659__t_handle_lever_v1.py,
20251218_033659_rounded_edge_prism_v1,ok,0.15923850289268418,8.200609733428363,60.528239831993666,0.0,0.0,0.0,8200609.733428364,76813367.19179566,True,,,generated/gpt-4o/20251218_033659_rounded_edge_prism_v1.py,data/models/20251218_033659_rounded_edge_prism_v1.py,
20251218_033659_rubber_plate_v1,ok,0.027205355465262367,31.55377333109048,879.617405142535,0.0,0.0,0.0,31553773.33109048,482370587.853618,True,,,generated/gpt-4o/20251218_033659_rubber_plate_v1.py,data/models/20251218_033659_rubber_plate_v1.py,
20251218_033659_slotted_bushing_v1,ok,0.9998841619668568,7.905619488557404,15.71865844867273,0.0,0.0,0.0,7905619.488557405,17601208.772642132,True,,,generated/gpt-4o/20251218_033659_slotted_bushing_v1.py,data/models/20251218_033659_slotted_bushing_v1.py,
20251218_033659_square_spaced_plate_v1,ok,0.0030449687259080866,31.23050956983198,674.9369815738203,0.0,0.0,0.0,31230509.569831982,613287092.2233211,True,,,generated/gpt-4o/20251218_033659_square_spaced_plate_v1.py,data/models/20251218_033659_square_spaced_plate_v1.py,
20251218_033659_standoff_spacer_type_v1,code_error,,,,,,,,,False,Standard_Failure,There are no suitable edges for chamfer or fillet,generated/gpt-4o/20251218_033659_standoff_spacer_type_v1.py,data/models/20251218_033659_standoff_spacer_type_v1.py,
20251218_033700__box_with_gro_v1,ok,0.043611830637562174,11.61567953954505,26.75429355686742,0.0,0.0,0.0,11615679.539545052,18577439.932646,True,,,generated/gpt-4o/20251218_033700__box_with_gro_v1.py,data/models/20251218_033700__box_with_gro_v1.py,
20251218_033700__wall_bracket_with_gusset_v1,ok,3.08693905965075,55.73374202401988,1045.182416956438,0.0,0.0,0.0,55733742.02401988,979188846.4546326,True,,,generated/gpt-4o/20251218_033700__wall_bracket_with_gusset_v1.py,data/models/20251218_033700__wall_bracket_with_gusset_v1.py,
20251218_033700_brass_threaded_orifice_flange_v1,ok,0.29670803140230934,19.646882704388503,11.776426303127954,0.0,0.0,0.0,19646882.704388503,262380541.46244952,True,,,generated/gpt-4o/20251218_033700_brass_threaded_orifice_flange_v1.py,data/models/20251218_033700_brass_threaded_orifice_flange_v1.py,
20251218_033700_vented_split_v1,ok,0.03492266219984362,15.528683137986942,15.400261375299847,0.0,0.0,0.0,15528683.137986943,275333931.1720531,True,,,generated/gpt-4o/20251218_033700_vented_split_v1.py,data/models/20251218_033700_vented_split_v1.py,
20251218_033701_base_plate_with_slots_v1,ok,0.020126532483666044,22.0,22.957248071867298,0.0,0.0,0.0,22000000.0,258274070.57951137,True,,,generated/gpt-4o/20251218_033701_base_plate_with_slots_v1.py,data/models/20251218_033701_base_plate_with_slots_v1.py,
